Code_INEGI,Municipio
12032,General Heliodoro Castillo
12033,Huamuxtitlán
12034,Huitzuco de los Figueroa
12035,Iguala de la Independencia
12036,Igualapa
12081,Iliatenco
12037,Ixcateopan de Cuauhtémoc
12079,José Joaquín de Herrera
12039,Juan R. Escudero
12080,Juchitán
12068,La Unión de Isidoro Montes de Oca
12040,Leonardo Bravo
12041,Malinaltepec
12077,Marquelia
12042,Mártir de Cuilapan
12043,Metlatónoc
12044,Mochitlán
12045,Olinalá
12046,Ometepec
12047,Pedro Ascencio Alquisiras
12048,Petatlán
12049,Pilcaya
12050,Pungarabato
12051,Quechultenango
12052,San Luis Acatlán
12053,San Marcos
12054,San Miguel Totolapan
12055,Taxco de Alarcón
12056,Tecoanapa
12057,Técpan de Galeana
12058,Teloloapan
12059,Tepecoacuilco de Trujano
12060,Tetipac
12061,Tixtla de Guerrero
12062,Tlacoachistlahuaca
12063,Tlacoapa
12064,Tlalchapa
12065,Tlalixtaquilla de Maldonado
12066,Tlapa de Comonfort
12067,Tlapehuala
12069,Xalpatláhuac
12070,Xochihuehuetlán
12071,Xochistlahuaca
12072,Zapotitlán Tablas
12038,Zihuatanejo de Azueta
12073,Zirándaro
12074,Zitlala
13001,Acatlán
13002,Acaxochitlán
13003,Actopan
13004,Agua Blanca de Iturbide
13005,Ajacuba
13006,Alfajayucan
13007,Almoloya
13008,Apan
13010,Atitalaquia
13011,Atlapexco
13013,Atotonilco de Tula
13012,Atotonilco el Grande
13014,Calnali
13015,Cardonal
13017,Chapantongo
13018,Chapulhuacán
13019,Chilcuautla
13016,Cuautepec de Hinojosa
13009,El Arenal
13020,Eloxochitlán
13021,Emiliano Zapata
13022,Epazoyucan
13023,Francisco I. Madero
13024,Huasca de Ocampo
13025,Huautla
13026,Huazalingo
13027,Huehuetla
13028,Huejutla de Reyes
13029,Huichapan
13030,Ixmiquilpan
13031,Jacala de Ledezma
13032,Jaltocán
13033,Juárez Hidalgo
13040,La Misión
13034,Lolotla
13035,Metepec
13037,Metztitlán
13051,Mineral de la Reforma
13038,Mineral del Chico
13039,Mineral del Monte
13041,Mixquiahuala de Juárez
13042,Molango de Escamilla
13043,Nicolás Flores
13044,Nopala de Villagrán
13045,Omitlán de Juárez
13048,Pachuca de Soto
13047,Pacula
13049,Pisaflores
13050,Progreso de Obregón
13036,San Agustín Metzquititlán
13052,San Agustín Tlaxiaca
13053,San Bartolo Tutotepec
13046,San Felipe Orizatlán
13054,San Salvador
13055,Santiago de Anaya
13056,Santiago Tulantepec de Lugo Guerrero
13057,Singuilucan
13058,Tasquillo
13059,Tecozautla
13060,Tenango de Doria
13061,Tepeapulco
13062,Tepehuacán de Guerrero
13063,Tepeji del Río de Ocampo
13064,Tepetitlán
13065,Tetepango
13067,Tezontepec de Aldama
13068,Tianguistengo
13069,Tizayuca
13070,Tlahuelilpan
13071,Tlahuiltepa
13072,Tlanalapa
13073,Tlanchinol
13074,Tlaxcoapan
13075,Tolcayuca
13076,Tula de Allende
13077,Tulancingo de Bravo
13066,Villa de Tezontepec
13078,Xochiatipan
13079,Xochicoatlán
13080,Yahualica
13081,Zacualtipán de Ángeles
13082,Zapotlán de Juárez
13083,Zempoala
13084,Zimapán
14001,Acatic
14002,Acatlán de Juárez
14003,Ahualulco de Mercado
14004,Amacueca
14005,Amatitán
14006,Ameca
14008,Arandas
14010,Atemajac de Brizuela
14011,Atengo
14012,Atenguillo
14013,Atotonilco el Alto
14014,Atoyac
14015,Autlán de Navarro
14016,Ayotlán
14017,Ayutla
14019,Bolaños
14020,Cabo Corrientes
14117,Cañadas de Obregón
14021,Casimiro Castillo
14030,Chapala
14031,Chimaltitán
14032,Chiquilistlán
14022,Cihuatlán
14024,Cocula
14025,Colotlán
14026,Concepción de Buenos Aires
14027,Cuautitlán de García Barragán
14028,Cuautla
14029,Cuquío
14033,Degollado
14034,Ejutla
14009,El Arenal
14037,El Grullo
14054,El Limón
14070,El Salto
14035,Encarnación de Díaz
14036,Etzatlán
14079,Gómez Farías
14038,Guachinango
14039,Guadalajara
14040,Hostotipaquillo
14041,Huejúcar
14042,Huejuquilla el Alto
14044,Ixtlahuacán de los Membrillos
14045,Ixtlahuacán del Río
14046,Jalostotitlán
14047,Jamay
14048,Jesús María
14049,Jilotlán de los Dolores
14050,Jocotepec
14051,Juanacatlán
14052,Juchitlán
14018,La Barca
14043,La Huerta
14057,La Manzanilla de la Paz
14053,Lagos de Moreno
14055,Magdalena
14058,Mascota
14059,Mazamitla
14060,Mexticacán
14061,Mezquitic
14062,Mixtlán
14063,Ocotlán
14064,Ojuelos de Jalisco
14065,Pihuamo
14066,Poncitlán
14067,Puerto Vallarta
14069,Quitupan
14071,San Cristóbal de la Barranca
14072,San Diego de Alejandría
14113,San Gabriel
14125,San Ignacio Cerro Gordo
14073,San Juan de los Lagos
14007,San Juanito de Escobedo
14074,San Julián
14075,San Marcos
14076,San Martín de Bolaños
14077,San Martín Hidalgo
14078,San Miguel el Alto
14098,San Pedro Tlaquepaque
14080,San Sebastián del Oeste
14081,Santa María de los Ángeles
14056,Santa María del Oro
14082,Sayula
14083,Tala
14084,Talpa de Allende
14085,Tamazula de Gordiano
14086,Tapalpa
14087,Tecalitlán
14089,Techaluta de Montenegro
14088,Tecolotlán
14090,Tenamaxtlán
14091,Teocaltiche
14092,Teocuitatlán de Corona
14093,Tepatitlán de Morelos
14094,Tequila
14095,Teuchitlán
14096,Tizapán el Alto
14097,Tlajomulco de Zúñiga
14099,Tolimán
14100,Tomatlán
14101,Tonalá
14102,Tonaya
14103,Tonila
14104,Totatiche
14105,Tototlán
14106,Tuxcacuesco
14107,Tuxcueca
14108,Tuxpan
14109,Unión de San Antonio
14110,Unión de Tula
14111,Valle de Guadalupe
14112,Valle de Juárez
14114,Villa Corona
14115,Villa Guerrero
14116,Villa Hidalgo
14068,Villa Purificación
14118,Yahualica de González Gallo
14119,Zacoalco de Torres
14120,Zapopan
14121,Zapotiltic
14122,Zapotitlán de Vadillo
14123,Zapotlán del Rey
14023,Zapotlán el Grande
14124,Zapotlanejo
15001,Acambay de Ruíz Castañeda
15002,Acolman
15003,Aculco
15004,Almoloya de Alquisiras
15005,Almoloya de Juárez
15006,Almoloya del Río
15007,Amanalco
15008,Amatepec
15009,Amecameca
15010,Apaxco
15011,Atenco
15012,Atizapán
15013,Atizapán de Zaragoza
15014,Atlacomulco
15015,Atlautla
15016,Axapusco
15017,Ayapango
15018,Calimaya
15019,Capulhuac
15025,Chalco
15026,Chapa de Mota
15027,Chapultepec
15028,Chiautla
15029,Chicoloapan
15030,Chiconcuac
15031,Chimalhuacán
15020,Coacalco de Berriozábal
15021,Coatepec Harinas
15022,Cocotitlán
15023,Coyotepec
15024,Cuautitlán
15121,Cuautitlán Izcalli
15032,Donato Guerra
15033,Ecatepec de Morelos
15034,Ecatzingo
15064,El Oro
15035,Huehuetoca
15036,Hueypoxtla
15037,Huixquilucan
15038,Isidro Fabela
15039,Ixtapaluca
15040,Ixtapan de la Sal
15041,Ixtapan del Oro
15042,Ixtlahuaca
15044,Jaltenco
15045,Jilotepec
15046,Jilotzingo
15047,Jiquipilco
15048,Jocotitlán
15049,Joquicingo
15050,Juchitepec
15070,La Paz
15051,Lerma
15123,Luvianos
15052,Malinalco
15053,Melchor Ocampo
15054,Metepec
15055,Mexicaltzingo
15056,Morelos
15057,Naucalpan de Juárez
15059,Nextlalpan
15058,Nezahualcóyotl
15060,Nicolás Romero
15061,Nopaltepec
15062,Ocoyoacac
15063,Ocuilan
15065,Otumba
15066,Otzoloapan
15067,Otzolotepec
15068,Ozumba
15069,Papalotla
15071,Polotitlán
15072,Rayón
15073,San Antonio la Isla
15074,San Felipe del Progreso
15124,San José del Rincón
15075,San Martín de las Pirámides
15076,San Mateo Atenco
15077,San Simón de Guerrero
15078,Santo Tomás
15079,Soyaniquilpan de Juárez
15080,Sultepec
15081,Tecámac
15082,Tejupilco
15083,Temamatla
15084,Temascalapa
15085,Temascalcingo
15086,Temascaltepec
15087,Temoaya
15088,Tenancingo
15089,Tenango del Aire
15090,Tenango del Valle
15091,Teoloyucan
15092,Teotihuacán
15093,Tepetlaoxtoc
15094,Tepetlixpa
15095,Tepotzotlán
15096,Tequixquiac
15097,Texcaltitlán
15098,Texcalyacac
15099,Texcoco
15100,Tezoyuca
15101,Tianguistenco
15102,Timilpan
15103,Tlalmanalco
15104,Tlalnepantla de Baz
15105,Tlatlaya
15106,Toluca
15125,Tonanitla
15107,Tonatico
15108,Tultepec
15109,Tultitlán
15110,Valle de Bravo
15122,Valle de Chalco Solidaridad
15111,Villa de Allende
15112,Villa del Carbón
15113,Villa Guerrero
15114,Villa Victoria
15043,Xalatlaco
15115,Xonacatlán
15116,Zacazonapan
15117,Zacualpan
15118,Zinacantepec
15119,Zumpahuacán
15120,Zumpango
16001,Acuitzio
16002,Aguililla
16003,Álvaro Obregón
16004,Angamacutiro
16005,Angangueo
16006,Apatzingán
16007,Aporo
16008,Aquila
16009,Ario
16010,Arteaga
16011,Briseñas
16012,Buenavista
16013,Carácuaro
16021,Charapan
16022,Charo
16023,Chavinda
16024,Cherán
16025,Chilchota
16026,Chinicuila
16027,Chucándiro
16028,Churintzio
16029,Churumuco
16014,Coahuayana
16015,Coalcomán de Vázquez Pallares
16016,Coeneo
16074,Cojumatlán de Régules
16017,Contepec
16018,Copándaro
16019,Cotija
16020,Cuitzeo
16030,Ecuandureo
16031,Epitacio Huerta
16032,Erongarícuaro
16033,Gabriel Zamora
16034,Hidalgo
16036,Huandacareo
16037,Huaniqueo
16038,Huetamo
16039,Huiramba
16040,Indaparapeo
16041,Irimbo
16042,Ixtlán
16043,Jacona
16044,Jiménez
16045,Jiquilpan
16113,José Sixto Verduzco
16046,Juárez
16047,Jungapeo
16035,La Huacana
16069,La Piedad
16048,Lagunillas
16052,Lázaro Cárdenas
16075,Los Reyes
16049,Madero
16050,Maravatío
16051,Marcos Castellanos
16053,Morelia
16054,Morelos
16055,Múgica
16056,Nahuatzen
16057,Nocupétaro
16058,Nuevo Parangaricutiro
16059,Nuevo Urecho
16060,Numarán
16061,Ocampo
16062,Pajacuarán
16063,Panindícuaro
16065,Paracho
16064,Parácuaro
16066,Pátzcuaro
16067,Penjamillo
16068,Peribán
16070,Purépero
16071,Puruándiro
16072,Queréndaro
16073,Quiroga
16076,Sahuayo
16079,Salvador Escalante
16077,San Lucas
16078,Santa Ana Maya
16080,Senguio
16081,Susupuato
16082,Tacámbaro
16083,Tancítaro
16084,Tangamandapio
16085,Tangancícuaro
16086,Tanhuato
16087,Taretan
16088,Tarímbaro
16089,Tepalcatepec
16090,Tingambato
16091,Tingüindín
16092,Tiquicheo de Nicolás Romero
16093,Tlalpujahua
16094,Tlazazalca
16095,Tocumbo
16096,Tumbiscatío
16097,Turicato
16098,Tuxpan
16099,Tuzantla
16100,Tzintzuntzan
16101,Tzitzio
16102,Uruapan
16103,Venustiano Carranza
16104,Villamar
16105,Vista Hermosa
16106,Yurécuaro
16107,Zacapu
16108,Zamora
16109,Zináparo
16110,Zinapécuaro
16111,Ziracuaretiro
16112,Zitácuaro
17001,Amacuzac
17002,Atlatlahucan
17003,Axochiapan
17004,Ayala
17034,Coatetelco
17005,Coatlán del Río
17006,Cuautla
17007,Cuernavaca
17008,Emiliano Zapata
17036,Hueyapan
17009,Huitzilac
17010,Jantetelco
17011,Jiutepec
17012,Jojutla
17013,Jonacatepec de Leandro Valle
17014,Mazatepec
17015,Miacatlán
17016,Ocuituco
17017,Puente de Ixtla
17018,Temixco
17033,Temoac
17019,Tepalcingo
17020,Tepoztlán
17021,Tetecala
17022,Tetela del Volcán
17023,Tlalnepantla
17024,Tlaltizapán de Zapata
17025,Tlaquiltenango
17026,Tlayacapan
17027,Totolapan
17028,Xochitepec
17035,Xoxocotla
17029,Yautepec
17030,Yecapixtla
17031,Zacatepec
17032,Zacualpan de Amilpas
18001,Acaponeta
18002,Ahuacatlán
18003,Amatlán de Cañas
18020,Bahía de Banderas
18004,Compostela
18009,Del Nayar
18005,Huajicori
18006,Ixtlán del Río
18007,Jala
18019,La Yesca
18010,Rosamorada
18011,Ruíz
18012,San Blas
18013,San Pedro Lagunillas
18014,Santa María del Oro
18015,Santiago Ixcuintla
18016,Tecuala
18017,Tepic
18018,Tuxpan
18008,Xalisco
19001,Abasolo
19002,Agualeguas
19004,Allende
19005,Anáhuac
19006,Apodaca
19007,Aramberri
19008,Bustamante
19009,Cadereyta Jiménez
19011,Cerralvo
19013,China
19012,Ciénega de Flores
19014,Doctor Arroyo
19015,Doctor Coss
19016,Doctor González
19010,El Carmen
19017,Galeana
19018,García
19020,General Bravo
19021,General Escobedo
19022,General Terán
19023,General Treviño
19024,General Zaragoza
19025,General Zuazua
19026,Guadalupe
19047,Hidalgo
19028,Higueras
19029,Hualahuises
19030,Iturbide
19031,Juárez
19032,Lampazos de Naranjo
19033,Linares
19003,Los Aldamas
19027,Los Herreras
19042,Los Ramones
19034,Marín
19035,Melchor Ocampo
19036,Mier y Noriega
19037,Mina
19038,Montemorelos
19039,Monterrey
19040,Parás
19041,Pesquería
19043,Rayones
19044,Sabinas Hidalgo
19045,Salinas Victoria
19046,San Nicolás de los Garza
19019,San Pedro Garza García
19048,Santa Catarina
19049,Santiago
19050,Vallecillo
19051,Villaldama
20001,Abejones
20002,Acatlán de Pérez Figueroa
20174,Ánimas Trujano
20003,Asunción Cacalotepec
20004,Asunción Cuyotepeji
20005,Asunción Ixtaltepec
20006,Asunción Nochixtlán
20007,Asunción Ocotlán
20008,Asunción Tlacolulita
20398,Ayoquezco de Aldama
20009,Ayotzintepec
20011,Calihualá
20012,Candelaria Loxicha
20247,Capulálpam de Méndez
20025,Chahuites
20026,Chalcatongo de Hidalgo
20027,Chiquihuitlán de Benito Juárez
20013,Ciénega de Zimatlán
20014,Ciudad Ixtepec
20015,Coatecas Altas
20016,Coicoyán de las Flores
20018,Concepción Buenavista
20019,Concepción Pápalo
20020,Constancia del Rosario
20021,Cosolapa
20022,Cosoltepec
20023,Cuilápam de Guerrero
20024,Cuyamecalco Villa de Zaragoza
20010,El Barrio de la Soledad
20030,El Espinal
20029,Eloxochitlán de Flores Magón
20032,Fresnillo de Trujano
20034,Guadalupe de Ramírez
20033,Guadalupe Etla
20035,Guelatao de Juárez
20036,Guevea de Humboldt
20028,Heroica Ciudad de Ejutla de Crespo
20039,Heroica Ciudad de Huajuapan de León
20397,Heroica Ciudad de Tlaxiaco
20549,"Heroica Villa Tezoatlán de Segura y Luna, Cuna de la Independencia de Oaxaca"
20040,Huautepec
20041,Huautla de Jiménez
20065,Ixpantepec Nieves
20042,Ixtlán de Juárez
20043,Juchitán de Zaragoza
20017,La Compañía
20069,La Pe
20076,La Reforma
20556,La Trinidad Vista Hermosa
20044,Loma Bonita
20045,Magdalena Apasco
20046,Magdalena Jaltepec
20048,Magdalena Mixtepec
20049,Magdalena Ocotlán
20050,Magdalena Peñasco
20051,Magdalena Teitipac
20052,Magdalena Tequisistlán
20053,Magdalena Tlacotepec
20562,Magdalena Yodocono de Porfirio Díaz
20054,Magdalena Zahuatlán
20055,Mariscala de Juárez
20056,Mártires de Tacubaya
20057,Matías Romero Avendaño
20058,Mazatlán Villa de Flores
20037,Mesones Hidalgo
20059,Miahuatlán de Porfirio Díaz
20060,Mixistlán de la Reforma
20061,Monjas
20062,Natividad
20063,Nazareno Etla
20064,Nejapa de Madero
20504,Nuevo Zoquiápam
20067,Oaxaca de Juárez
20068,Ocotlán de Morelos
20070,Pinotepa de Don Luis
20071,Pluma Hidalgo
20073,Putla Villa de Guerrero
20075,Reforma de Pineda
20077,Reyes Etla
20078,Rojas de Cuauhtémoc
20079,Salina Cruz
20080,San Agustín Amatengo
20081,San Agustín Atenango
20082,San Agustín Chayuco
20083,San Agustín de las Juntas
20084,San Agustín Etla
20085,San Agustín Loxicha
20086,San Agustín Tlacotepec
20087,San Agustín Yatareni
20088,San Andrés Cabecera Nueva
20089,San Andrés Dinicuiti
20090,San Andrés Huaxpaltepec
20091,San Andrés Huayápam
20092,San Andrés Ixtlahuaca
20093,San Andrés Lagunas
20094,San Andrés Nuxiño
20095,San Andrés Paxtlán
20096,San Andrés Sinaxtla
20097,San Andrés Solaga
20098,San Andrés Teotilálpam
20099,San Andrés Tepetlapa
20100,San Andrés Yaá
20101,San Andrés Zabache
20102,San Andrés Zautla
20103,San Antonino Castillo Velasco
20104,San Antonino el Alto
20105,San Antonino Monte Verde
20106,San Antonio Acutla
20107,San Antonio de la Cal
20108,San Antonio Huitepec
20109,San Antonio Nanahuatípam
20110,San Antonio Sinicahua
20111,San Antonio Tepetlapa
20112,San Baltazar Chichicápam
20113,San Baltazar Loxicha
20114,San Baltazar Yatzachi el Bajo
20115,San Bartolo Coyotepec
20121,San Bartolo Soyaltepec
20122,San Bartolo Yautepec
20116,San Bartolomé Ayautla
20117,San Bartolomé Loxicha
20118,San Bartolomé Quialana
20119,San Bartolomé Yucuañe
20120,San Bartolomé Zoogocho
20123,San Bernardo Mixtepec
20124,San Blas Atempa
20125,San Carlos Yautepec
20126,San Cristóbal Amatlán
20127,San Cristóbal Amoltepec
20128,San Cristóbal Lachirioag
20129,San Cristóbal Suchixtlahuaca
20130,San Dionisio del Mar
20131,San Dionisio Ocotepec
20132,San Dionisio Ocotlán
20133,San Esteban Atatlahuca
20134,San Felipe Jalapa de Díaz
20135,San Felipe Tejalápam
20136,San Felipe Usila
20137,San Francisco Cahuacuá
20138,San Francisco Cajonos
20139,San Francisco Chapulapa
20140,San Francisco Chindúa
20141,San Francisco del Mar
20142,San Francisco Huehuetlán
20143,San Francisco Ixhuatán
20144,San Francisco Jaltepetongo
20145,San Francisco Lachigoló
20146,San Francisco Logueche
20147,San Francisco Nuxaño
20148,San Francisco Ozolotepec
20149,San Francisco Sola
20150,San Francisco Telixtlahuaca
20151,San Francisco Teopan
20152,San Francisco Tlapancingo
20153,San Gabriel Mixtepec
20154,San Ildefonso Amatlán
20155,San Ildefonso Sola
20156,San Ildefonso Villa Alta
20157,San Jacinto Amilpas
20158,San Jacinto Tlacotepec
20159,San Jerónimo Coatlán
20160,San Jerónimo Silacayoapilla
20161,San Jerónimo Sosola
20162,San Jerónimo Taviche
20163,San Jerónimo Tecóatl
20550,San Jerónimo Tlacochahuaya
20164,San Jorge Nuchita
20165,San José Ayuquila
20166,San José Chiltepec
20167,San José del Peñasco
20072,San José del Progreso
20168,San José Estancia Grande
20169,San José Independencia
20170,San José Lachiguiri
20171,San José Tenango
20172,San Juan Achiutla
20173,San Juan Atepec
20175,San Juan Bautista Atatlahuca
20176,San Juan Bautista Coixtlahuaca
20177,San Juan Bautista Cuicatlán
20178,San Juan Bautista Guelache
20179,San Juan Bautista Jayacatlán
20180,San Juan Bautista Lo de Soto
20181,San Juan Bautista Suchitepec
20183,San Juan Bautista Tlachichilco
20182,San Juan Bautista Tlacoatzintepec
20184,San Juan Bautista Tuxtepec
20559,San Juan Bautista Valle Nacional
20185,San Juan Cacahuatepec
20191,San Juan Chicomezúchil
20192,San Juan Chilateca
20186,San Juan Cieneguilla
