Code_INEGI,Municipio,Total,Disponen_energía_eléctrica,No_disponen_energía_eléctrica,disponen_energía_eléctrica_No_esp,Disponen_agua_entubada,No_disponen_agua_entubada,disponen_agua_entubada_no_esp,Disponen_drenaje,No_disponen_drenaje,disponen_drenaje_no_esp
20 402,Santa María Cortijo,326,317,9,,136,8,,34,110,
20 403,Santa María Coyotepec,1073,1050,15,8,2529,33,7,2545,17,7
20 408,Santa María del Rosario,144,141,3,,795,95,,852,38,
20 409,Santa María del Tule,2569,2557,5,7,243,8,,207,44,
20 410,Santa María Ecatepec,890,867,23,,892,7,,756,143,
20 411,Santa María Guelacé,251,249,2,,14421,656,12,14376,696,17
20 412,Santa María Guienagati,899,844,55,,3274,298,,3306,266,
20 413,Santa María Huatulco,15089,14705,371,13,1271,16,,1250,37,
20 414,Santa María Huazolotitlán,3572,3502,70,,151,12,,163,,
20 415,Santa María Ipalapa,1287,1266,21,,2239,364,,1909,694,
20 416,Santa María Ixcatlán,163,162,1,,3459,118,8,3454,123,8
20 417,Santa María Jacatepec,2603,2573,30,,175,1,,169,7,
20 418,Santa María Jalapa del Marqués,3585,3472,105,8,395,2,,150,247,
20 419,Santa María Jaltianguis,176,174,2,,1458,41,,1455,44,
20 396,Santa María la Asunción,931,906,25,,193,3,,125,71,
20 420,Santa María Lachixío,397,381,16,,142,3,,103,42,
20 421,Santa María Mixtequilla,1499,1474,25,,947,21,,301,667,
20 422,Santa María Nativitas,196,193,3,,620,13,,470,163,
20 423,Santa María Nduayaco,145,140,5,,1624,84,,47,1661,
20 424,Santa María Ozolotepec,968,937,31,,3917,519,500,4294,142,500
20 425,Santa María Pápalo,633,619,14,,519,10,,493,36,
20 426,Santa María Peñoles,1708,1581,127,,379,58,1,165,272,1
20 427,Santa María Petapa,4936,4375,61,500,92,,,89,3,
20 428,Santa María Quiegolani,529,509,20,,469,15,1,441,43,1
20 429,Santa María Sola,438,422,15,1,299,,,299,,
20 430,Santa María Tataltepec,92,91,1,,612,9,,161,460,
20 431,Santa María Tecomavaca,485,483,2,,1107,19,,954,172,
20 432,Santa María Temaxcalapa,299,298,1,,907,9,,515,401,
20 433,Santa María Temaxcaltepec,621,583,38,,92,199,,26,265,
20 434,Santa María Teopoxco,1126,1120,6,,2392,50,,651,1791,
20 435,Santa María Tepantlali,916,883,33,,463,7,,397,73,
20 436,Santa María Texcatitlán,291,284,7,,5662,778,1,4867,1573,1
20 437,Santa María Tlahuitoltepec,2442,2365,77,,285,9,,280,14,
20 438,Santa María Tlalixtac,470,462,8,,2066,142,2,2147,61,2
20 439,Santa María Tonameca,6441,6125,315,1,81,2,,83,,
20 440,Santa María Totolapilla,294,289,5,,146,,,138,8,
20 441,Santa María Xadani,2210,2175,33,2,148,7,,72,83,
20 442,Santa María Yalina,83,83,,,373,5,,89,289,
20 443,Santa María Yavesía,146,145,1,,1536,114,,650,1000,
20 444,Santa María Yolotepec,155,150,5,,4323,93,1,4139,277,1
20 445,Santa María Yosoyúa,378,374,4,,501,3,,232,272,
20 446,Santa María Yucuhiti,1650,1629,21,,970,60,,920,110,
20 447,Santa María Zacatepec,4417,4295,121,1,2647,345,,27,2965,
20 448,Santa María Zaniza,504,489,15,,141,182,,70,253,
20 449,Santa María Zoquitlán,1030,1013,17,,1114,36,,928,222,
20 450,Santiago Amoltepec,2992,2792,200,,1176,73,1,53,1196,1
20 451,Santiago Apoala,323,314,9,,858,25,,623,260,
20 452,Santiago Apóstol,1150,1140,10,,676,86,,564,198,
20 453,Santiago Astata,1250,1191,58,1,466,18,,459,25,
20 454,Santiago Atitlán,883,854,29,,879,21,,618,282,
20 455,Santiago Ayuquililla,762,751,11,,336,4,,322,18,
20 456,Santiago Cacaloxtepec,484,481,3,,1404,186,,1392,198,
20 457,Santiago Camotlán,900,889,11,,1306,76,7,612,770,7
20 460,Santiago Choápam,1389,1324,58,7,186,2,,166,22,
20 458,Santiago Comaltepec,340,338,2,,1217,32,,1122,127,
20 461,Santiago del Río,188,182,6,,184,9,,114,79,
20 462,Santiago Huajolotitlán,1249,1235,14,,109,6,,105,10,
20 463,Santiago Huauclilla,193,189,4,,411,,,398,13,
20 464,Santiago Ihuitlán Plumas,115,115,,,2730,418,1,1497,1651,1
20 465,Santiago Ixcuintepec,411,398,13,,5009,490,1,5023,476,1
20 466,Santiago Ixtayutla,3149,2913,236,,3214,161,,1496,1879,
20 467,Santiago Jamiltepec,5500,5372,127,1,7301,216,,5708,1809,
20 468,Santiago Jocotepec,3375,3302,73,,1405,15,,1283,137,
20 469,Santiago Juxtlahuaca,7517,7212,305,,126,,,126,,
20 470,Santiago Lachiguiri,1420,1340,80,,1064,50,1,1084,30,1
20 471,Santiago Lalopa,126,125,1,,374,,,363,11,
20 472,Santiago Laollaga,1115,1106,8,1,1021,20,,948,93,
20 473,Santiago Laxopa,374,373,1,,2349,173,,2447,75,
20 474,Santiago Llano Grande,1041,1015,26,,139,3,,131,11,
20 475,Santiago Matatlán,2522,2474,48,,337,20,,301,56,
20 476,Santiago Miltepec,142,139,3,,514,49,,361,201,1
20 477,Santiago Minas,357,352,5,,67,1,,28,40,
20 478,Santiago Nacaltepec,563,554,9,,336,66,,14,388,
20 479,Santiago Nejapilla,68,67,1,,574,5,,97,482,
20 066,Santiago Niltepec,1727,1679,43,5,12851,2597,2,13996,1452,2
20 480,Santiago Nundiche,402,354,48,,2451,410,,1769,1092,
20 481,Santiago Nuyoó,579,569,10,,1000,125,,1048,77,
20 482,Santiago Pinotepa Nacional,15450,15155,293,2,754,48,,596,206,
20 483,Santiago Suchilquitongo,2861,2813,48,,656,38,,643,51,
20 484,Santiago Tamazola,1125,1105,20,,555,30,,446,139,
20 485,Santiago Tapextla,802,778,24,,41,,,38,3,
20 487,Santiago Tenango,585,554,31,,1267,81,,1081,267,
20 488,Santiago Tepetlapa,41,41,,,753,9,,578,184,
20 489,Santiago Tetepec,1348,1314,34,,904,,,333,571,
20 490,Santiago Texcalcingo,762,757,5,,759,145,,204,700,
20 491,Santiago Textitlán,904,887,17,,174,1,,133,42,
20 492,Santiago Tilantongo,904,853,51,,1081,212,,75,1218,
20 493,Santiago Tillo,175,174,1,,747,62,,189,620,
20 494,Santiago Tlazoyaltepec,1293,1252,41,,532,2,,452,82,
20 495,Santiago Xanica,809,741,68,,938,10,,401,547,
20 496,Santiago Xiacuí,534,532,2,,1107,970,3,1659,418,3
20 497,Santiago Yaitepec,948,939,9,,519,20,,491,48,
20 498,Santiago Yaveo,2080,2005,72,3,2246,159,,1502,903,
20 499,Santiago Yolomécatl,539,536,3,,326,1,,302,25,
20 500,Santiago Yosondúa,2405,2305,100,,1293,112,,727,678,
20 501,Santiago Yucuyachi,327,324,3,,124,,,123,1,
20 502,Santiago Zacatepec,1405,1338,67,,399,,,393,6,
20 503,Santiago Zoochila,124,124,,,2410,88,,2436,62,
20 506,Santo Domingo Albarradas,232,230,2,,231,1,,228,4,
20 507,Santo Domingo Armenta,932,899,32,1,917,14,1,768,163,1
20 508,Santo Domingo Chihuitán,532,522,10,,520,12,,522,10,
20 509,Santo Domingo de Morelos,2484,2419,65,,1837,647,,896,1588,
20 505,Santo Domingo Ingenio,2498,2476,21,1,203,17,,122,98,
20 510,Santo Domingo Ixcatlán,220,210,10,,560,355,,181,734,
20 511,Santo Domingo Nuxaá,915,853,62,,267,,,206,61,
20 512,Santo Domingo Ozolotepec,267,262,5,,2529,62,,2454,137,
20 513,Santo Domingo Petapa,2591,2484,107,,244,2,,123,123,
20 514,Santo Domingo Roayaga,246,236,10,,18256,1105,20,18771,590,20
20 515,Santo Domingo Tehuantepec,19381,18976,385,20,1305,9,,1185,129,
20 516,Santo Domingo Teojomulco,1314,1289,25,,1415,44,,383,1076,
20 517,Santo Domingo Tepuxtepec,1459,1361,98,,42,,,14,28,
20 518,Santo Domingo Tlatayápam,42,42,,,843,73,,891,25,
20 519,Santo Domingo Tomaltepec,916,911,5,,1873,87,,1872,88,
20 520,Santo Domingo Tonalá,1960,1930,30,,78,1,,72,7,
20 521,Santo Domingo Tonaltepec,79,77,2,,333,17,,302,48,
20 522,Santo Domingo Xagacía,350,340,10,,493,24,,410,107,
20 523,Santo Domingo Yanhuitlán,517,514,3,,84,,,83,1,
20 524,Santo Domingo Yodohino,84,84,,,3322,442,5,3590,174,5
20 525,Santo Domingo Zanatepec,3769,3716,48,5,4320,131,2,3373,1078,2
20 530,Santo Tomás Jalieza,967,949,18,,609,4,,294,319,
20 531,Santo Tomás Mazaltepec,677,669,8,,285,2,,282,5,
20 532,Santo Tomás Ocotepec,1053,1015,38,,212,42,,188,66,
20 533,Santo Tomás Tamazulapan,740,722,18,,580,387,,425,541,1
20 526,Santos Reyes Nopala,4453,4309,143,1,653,24,,609,68,
20 527,Santos Reyes Pápalo,613,608,5,,1028,25,,117,935,1
20 528,Santos Reyes Tepejillo,287,285,2,,712,28,,613,127,
20 529,Santos Reyes Yucuná,254,251,3,,822,24,,342,504,
20 537,Silacayoápam,1910,1886,24,,688,25,,26,687,
20 538,Sitio de Xitlapehua,203,202,1,,151,,,145,6,
20 539,Soledad Etla,1662,1597,65,,1864,46,,1747,163,
20 031,Tamazulápam del Espíritu Santo,2031,1983,47,1,196,7,,89,114,
20 541,Tanetze de Zaragoza,498,496,2,,1481,181,,1523,139,
20 542,Taniche,250,246,4,,2181,51,,2167,65,
20 543,Tataltepec de Valdés,1626,1523,102,1,498,,,496,2,
20 544,Teococuilco de Marcos Pérez,296,293,2,1,242,8,,216,34,
20 545,Teotitlán de Flores Magón,2694,2647,47,,1533,92,1,1140,485,1
20 546,Teotitlán del Valle,1691,1685,6,,294,1,1,286,9,1
20 547,Teotongo,320,316,4,,2538,156,,2641,53,
20 548,Tepelmeme Villa de Morelos,594,550,44,,1488,203,,1460,231,
20 551,Tlacolula de Matamoros,8343,8205,136,2,312,8,,309,11,
20 552,Tlacotepec Plumas,137,135,2,,458,136,,507,87,
20 553,Tlalixtac de Cabrera,3115,3085,21,9,3187,104,,2683,608,
20 554,Totontepec Villa de Morelos,1510,1482,28,,1388,175,,1011,552,
20 555,Trinidad Zaachila,905,896,9,,7809,532,2,7754,587,2
20 557,Unión Hidalgo,4262,4223,39,,136,1,,129,8,
20 558,Valerio Trujano,432,423,9,,2925,181,9,2939,167,9
20 405,Villa de Chilapa de Díaz,559,554,5,,1491,19,,896,614,
20 338,Villa de Etla,2683,2650,33,,753,152,,659,246,
20 459,Villa de Santiago Chazumba,1590,1551,39,,91,,,86,5,
20 540,Villa de Tamazulápam del Progreso,2232,2184,48,,4232,30,,4225,37,
20 334,Villa de Tututepec,14731,14408,321,2,418,14,,390,42,
20 565,Villa de Zaachila,11752,11338,414,,5392,556,,5101,847,
20 560,Villa Díaz Ordaz,1735,1707,21,7,1695,33,7,1430,298,7
20 038,Villa Hidalgo,528,517,11,,770,58,,39,789,
20 277,Villa Sola de Vega,3218,3081,136,1,468,5,,353,120,
20 280,Villa Talea de Castro,705,704,1,,363,16,,266,113,
20 486,Villa Tejúpam de la Unión,694,685,9,,355,32,,141,246,
20 561,Yaxe,828,793,35,,7549,4203,,10148,1604,
20 563,Yogana,379,371,8,,816,83,,435,464,
20 564,Yutanduchi de Guerrero,387,379,8,,715,155,,797,73,
20 567,Zapotitlán Lagunas,870,861,9,,473,15,,428,60,
20 568,Zapotitlán Palmas,488,479,9,,299,179,,179,299,
20 570,Zimatlán de Álvarez,5848,5752,92,4,5056,788,4,4904,940,4
21 001,Acajete,15205,14971,218,16,13240,1949,16,14429,751,25
21 002,Acateno,2593,2520,73,,2258,335,,2305,288,
21 003,Acatlán,10125,10040,85,,8623,1502,,9708,417,
21 004,Acatzingo,13465,13324,130,11,11942,1512,11,12966,488,11
21 005,Acteopan,839,827,11,1,528,310,1,671,167,1
21 006,Ahuacatlán,3632,3598,34,,3510,122,,3115,517,
21 007,Ahuatlán,789,781,8,,733,56,,695,94,
21 008,Ahuazotepec,2918,2906,12,,2859,59,,2756,162,
21 009,Ahuehuetitla,610,599,11,,553,57,,532,78,
21 010,Ajalpan,15528,15252,272,4,12617,2907,4,10854,4670,4
21 011,Albino Zertuche,510,499,11,,491,19,,494,16,
21 012,Aljojuca,1706,1697,9,,1691,15,,1632,74,
21 013,Altepexi,4706,4689,17,,4599,107,,4566,140,
21 014,Amixtlán,1352,1320,32,,1266,86,,1191,161,
21 015,Amozoc,31539,31247,137,155,27891,3493,155,30849,532,158
21 016,Aquixtla,2489,2431,58,,2318,171,,2184,305,
21 017,Atempan,6894,6820,73,1,6779,114,1,6086,807,1
21 018,Atexcal,1106,1082,19,5,1031,70,5,1033,68,5
21 080,Atlequizayan,675,665,10,,36345,1160,8,36557,943,13
21 019,Atlixco,37513,37305,201,7,1773,56,,1782,47,
21 020,Atoyatempan,1829,1824,5,,394,7,,385,16,
21 021,Atzala,401,400,1,,3179,56,,2972,263,
21 022,Atzitzihuacán,3235,3205,30,,2020,61,,1769,312,
21 023,Atzitzintla,2081,2055,26,,278,22,,294,6,
21 024,Axutla,300,296,4,,2239,76,,2170,145,
21 025,Ayotoxco de Guerrero,2315,2247,68,,3473,122,,3479,116,
21 026,Calpan,3595,3572,23,,1139,105,,1118,126,
21 027,Caltepec,1244,1172,72,,717,7,,702,22,
21 028,Camocuautla,724,710,14,,936,17,,922,31,
21 099,Cañada Morelos,5284,5228,56,,224,,,207,17,
21 029,Caxhuacan,953,928,25,,768,20,,733,55,
21 045,Chalchicomula de Sesma,11708,11654,54,,391,26,,387,29,1
21 046,Chapulco,1912,1894,18,,1232,113,,1196,149,
21 047,Chiautla,5840,5774,65,1,9986,1187,36,10911,262,36
21 048,Chiautzingo,4995,4958,35,2,4891,221,1,4805,307,1
21 050,Chichiquila,5286,5221,65,,3180,308,,2691,797,
21 049,Chiconcuautla,4076,4044,32,,753,15,,712,56,
21 051,Chietla,10242,10155,84,3,2003,357,,2242,118,
21 052,Chigmecatitlán,385,382,3,,2789,67,,2435,421,
21 053,Chignahuapan,17125,16947,172,6,2415,489,4,2638,266,4
21 054,Chignautla,7827,7716,107,4,40792,241,112,40885,129,131
21 055,Chila,1419,1396,23,,806,139,,882,63,
21 056,Chila de la Sal,422,421,1,,11727,838,,10872,1693,
21 058,Chilchotla,4337,4269,61,7,4056,49,,3660,445,
21 059,Chinantla,794,773,21,,11486,222,,10720,988,
21 030,Coatepec,224,222,2,,1864,48,,1775,137,
21 031,Coatzingo,788,776,12,,5324,515,1,5618,221,1
21 032,Cohetzala,417,414,3,,4951,42,2,4867,126,2
21 033,Cohuecan,1345,1329,16,,4003,73,,3209,867,
21 034,Coronango,11209,11135,38,36,4536,750,,3348,1938,
21 035,Coxcatlán,5113,5069,43,1,9907,332,3,9984,255,3
21 036,Coyomeapan,3488,3417,71,,379,6,,359,26,
21 037,Coyotepec,768,761,7,,16553,566,6,15589,1530,6
21 038,Cuapiaxtla de Madero,2360,2346,14,,7531,292,4,7116,707,4
21 039,Cuautempan,2856,2796,60,,1232,187,,1291,128,
21 040,Cuautinchán,2908,2840,64,4,398,24,,412,10,
21 041,Cuautlancingo,41145,41005,30,110,1602,79,,1457,224,
21 042,Cuayuca de Andrade,945,932,13,,4247,83,7,3603,727,7
21 043,Cuetzalan del Progreso,12565,12097,468,,679,115,,718,76,
21 044,Cuyoaco,4105,4067,38,,1768,75,,1720,123,
21 060,Domingo Arenas,1843,1825,18,,2443,916,,2212,1147,
21 061,Eloxochitlán,3359,3268,91,,1265,57,,1282,40,
21 062,Epatlán,1322,1313,9,,3633,59,3,3555,137,3
21 063,Esperanza,3695,3669,24,2,3951,1136,,4031,1056,
21 064,Francisco Z. Mena,5087,4987,100,,5204,82,1,5119,167,1
21 065,General Felipe Ángeles,5287,5255,31,1,1723,125,,1757,91,
21 066,Guadalupe,1848,1829,19,,4644,21,1,4337,328,1
21 067,Guadalupe Victoria,4666,4628,37,1,1950,44,,1805,189,
21 068,Hermenegildo Galeana,1994,1964,30,,7110,134,,6939,305,
21 057,Honey,1681,1648,33,,1708,62,,1591,179,
21 069,Huaquechula,7244,7174,70,,26089,1455,6,26108,1436,6
21 070,Huatlatlauca,1770,1744,26,,3455,455,1,3295,616,
21 071,Huauchinango,27550,27424,120,6,2441,120,,2376,185,
21 072,Huehuetla,3911,3737,174,,22318,225,26,22179,364,26
21 073,Huehuetlán el Chico,2561,2506,55,,3254,28,2,2767,515,2
21 150,Huehuetlán el Grande,1712,1694,18,,7260,300,,7100,460,
21 074,Huejotzingo,22569,22480,63,26,1135,303,,993,445,
21 075,Hueyapan,3284,3249,33,2,3836,83,1,3556,361,3
21 076,Hueytamalco,7560,7366,194,,1361,210,,1503,68,
21 077,Hueytlalpan,1438,1342,96,,662,13,,642,33,
21 078,Huitzilan de Serdán,3920,3832,85,3,917,182,,984,115,
21 079,Huitziltepec,1571,1558,13,,2365,48,,2334,79,
21 081,Ixcamilpa de Guerrero,1099,1074,25,,6130,284,1,5109,1304,2
21 082,Ixcaquixtla,2413,2388,25,,1606,125,,1491,240,
21 083,Ixtacamaxtitlán,6415,6279,135,1,20875,717,15,21278,296,33
21 084,Ixtepec,1731,1655,76,,2405,909,1,2899,415,1
21 085,Izúcar de Matamoros,21607,21474,118,15,3242,140,1,3028,354,1
21 086,Jalpan,3315,3216,98,1,1240,41,,1160,121,
21 087,Jolalpan,3383,3300,82,1,3025,161,,2851,335,
21 088,Jonotla,1281,1241,40,,5438,367,32,5679,120,38
21 089,Jopala,3186,3147,39,,2787,13,,2768,32,
21 090,Juan C. Bonilla,5837,5791,17,29,1387,87,1,1369,105,1
21 091,Juan Galindo,2800,2798,2,,1934,9,,1850,93,
21 092,Juan N. Méndez,1475,1455,19,1,8780,186,4,8345,621,4
21 095,La Magdalena Tlatlauquitepec,169,169,,,165,4,,166,3,
21 093,Lafragua,1943,1932,11,,767,4,,683,87,1
21 094,Libres,8970,8891,75,4,608,9,,608,9,
21 118,Los Reyes de Juárez,6500,6456,44,,1781,41,,1687,135,
21 096,Mazapiltepec de Juárez,771,764,7,,5062,222,,4581,703,
21 097,Mixtla,617,611,6,,2295,68,,2202,161,
21 098,Molcaxac,1822,1795,27,,915,71,,940,46,
21 100,Naupan,2363,2340,23,,3128,5,,3107,26,
21 101,Nauzontla,986,966,20,,1459,108,,1058,509,
21 102,Nealtican,3133,3120,13,,7151,66,,7014,203,
21 103,Nicolás Bravo,1567,1535,32,,1293,60,,1189,164,
21 104,Nopalucan,7217,7162,55,,9509,1207,17,10429,287,17
21 105,Ocotepec,1353,1328,25,,1600,1174,,1963,811,
21 106,Ocoyucan,10733,10673,43,17,4640,70,1,4261,449,1
21 107,Olintla,2774,2641,133,,5271,81,,5103,249,
21 108,Oriental,4711,4673,37,1,11617,438,1,10765,1290,1
21 109,Pahuatlán,5352,5230,122,,4324,889,8,4308,905,8
21 110,Palmar de Bravo,12056,11895,160,1,2408,168,,2432,144,
21 111,Pantepec,5221,5051,162,8,1274,137,,1322,88,1
21 112,Petlalcingo,2576,2545,31,,465939,10685,320,472959,3622,363
21 113,Piaxtla,1411,1396,15,,12323,1116,12,13033,406,12
21 114,Puebla,476944,475608,1017,319,4404,365,1,3641,1128,1
21 115,Quecholac,13451,13327,112,12,3705,3,,3694,14,
21 116,Quimixtlán,4770,4729,40,1,6306,194,,6268,232,
21 117,Rafael Lara Grajales,3708,3698,10,,42928,1213,625,43925,201,640
21 119,San Andrés Cholula,44766,44111,31,624,1308,72,,1186,194,
21 120,San Antonio Cañada,1380,1345,35,,350,14,,341,23,
21 121,San Diego la Mesa Tochimiltzingo,364,363,1,,2600,30,1,2553,77,1
21 122,San Felipe Teotlalcingo,2631,2614,16,1,1036,34,,922,148,
21 123,San Felipe Tepatlán,1070,1042,28,,3862,23,2,3748,137,2
21 124,San Gabriel Chilac,3887,3861,24,2,2447,17,16,2442,22,16
21 125,San Gregorio Atzompa,2480,2463,1,16,1374,82,,1373,83,
21 126,San Jerónimo Tecuanipan,1456,1442,14,,1030,120,,1063,87,
21 127,San Jerónimo Xayacatlán,1150,1135,15,,2480,18,,2289,209,
21 128,San José Chiapa,2498,2483,15,,3494,32,3,3448,78,3
21 129,San José Miahuatlán,3529,3507,19,3,947,17,,909,55,
21 130,San Juan Atenco,964,957,7,,268,5,,262,11,
21 131,San Juan Atzompa,273,273,,,37980,247,10,37925,297,15
21 132,San Martín Texmelucan,38237,38163,64,10,191,3,,192,2,
21 133,San Martín Totoltepec,194,193,1,,5100,32,,5011,121,
21 134,San Matías Tlalancaleca,5132,5115,17,,176,2,,170,8,
21 135,San Miguel Ixitlán,178,177,1,,2824,15,1,2809,30,1
21 136,San Miguel Xoxtla,2840,2838,2,,2437,22,,2333,125,1
21 137,San Nicolás Buenos Aires,2459,2437,22,,2598,34,,2606,26,
21 138,San Nicolás de los Ranchos,2632,2625,7,,921,97,,934,84,
21 139,San Pablo Anicano,1018,1001,17,,35536,822,163,36033,313,175
21 140,San Pedro Cholula,36521,36288,73,160,947,89,,982,54,
21 141,San Pedro Yeloixtlahuaca,1036,1009,27,,7339,79,,6711,707,
21 142,San Salvador el Seco,7418,7373,45,,8359,77,7,8304,131,8
21 143,San Salvador el Verde,8443,8388,48,7,2688,877,,3448,117,
21 144,San Salvador Huixcolotla,3565,3541,24,,2887,389,1,2258,1018,1
21 145,San Sebastián Tlacotepec,3277,3114,162,1,252,4,,234,22,
21 146,Santa Catarina Tlaltempan,256,252,4,,1512,302,,1707,107,
21 147,Santa Inés Ahuatempan,1814,1785,29,,2024,569,,2479,113,1
21 148,Santa Isabel Cholula,2593,2572,21,,6958,444,5,6663,739,5
21 149,Santiago Miahuatlán,7407,7234,169,4,1619,93,,1589,123,
21 151,Santo Tomás Hueyotlipan,2252,2229,23,,2210,42,,2170,82,
21 152,Soltepec,2954,2903,44,7,2847,100,7,2613,333,8
21 153,Tecali de Herrera,6002,5962,39,1,5786,215,1,5720,281,1
21 154,Tecamachalco,19970,19869,98,3,18393,1574,3,19308,659,3
21 155,Tecomatlán,1860,1847,13,,1705,155,,1796,64,
21 156,Tehuacán,85208,84728,465,15,83079,2113,16,84315,877,16
21 157,Tehuitzingo,3365,3297,68,,2783,582,,3169,196,
21 158,Tenampulco,2074,2013,61,,1284,790,,1693,381,
21 159,Teopantlán,1161,1148,12,1,1124,36,1,1075,85,1
21 160,Teotlalco,1005,988,11,6,934,65,6,932,67,6
21 161,Tepanco de López,5571,5495,74,2,5437,132,2,5381,188,2
21 162,Tepango de Rodríguez,1041,1015,26,,946,95,,848,193,
21 163,Tepatlaxco de Hidalgo,4091,4048,43,,3806,285,,4026,65,
21 164,Tepeaca,18526,18432,92,2,18065,459,2,17674,850,2
21 165,Tepemaxalco,262,256,6,,256,6,,210,52,
21 166,Tepeojuma,2259,2245,14,,2234,25,,2200,59,
21 167,Tepetzintla,2564,2494,70,,2407,157,,2002,562,
21 168,Tepexco,1786,1754,32,,1564,222,,1413,373,
21 169,Tepexi de Rodríguez,6047,5983,64,,4971,1076,,5549,498,
21 170,Tepeyahualco,4711,4654,49,8,4665,38,8,4088,615,8
21 171,Tepeyahualco de Cuauhtémoc,1019,1007,12,,1003,16,,991,28,
21 172,Tetela de Ocampo,7708,7530,177,1,7291,416,1,6886,821,1
21 173,Teteles de Ávila Castillo,1750,1732,18,,1743,7,,1624,126,
21 174,Teziutlán,28239,28126,113,,28085,154,,27715,524,
21 175,Tianguismanalco,3588,3569,19,,3530,58,,3462,126,
21 176,Tilapa,2601,2567,29,5,2534,62,5,2516,80,5
21 179,Tlachichuca,7232,7154,72,6,12477,593,1,11750,1320,1
21 177,Tlacotepec de Benito Juárez,13071,12834,236,1,3158,1285,,3747,696,
21 178,Tlacuilotepec,4443,4338,105,,7130,96,6,6566,660,6
21 180,Tlahuapan,9935,9877,45,13,9855,67,13,9689,233,13
21 181,Tlaltenango,1740,1728,12,,1714,26,,1671,69,
21 182,Tlanepantla,1122,1111,11,,1037,84,1,1079,42,1
21 183,Tlaola,5002,4947,54,1,4699,302,1,4235,766,1
21 184,Tlapacoya,1704,1694,10,,1588,116,,1316,388,
21 185,Tlapanalá,2537,2523,13,1,2481,55,1,2430,106,1
21 186,Tlatlauquitepec,14353,14138,215,,14120,233,,13243,1110,
21 187,Tlaxco,1428,1360,68,,1213,215,,1224,204,
21 188,Tochimilco,4769,4714,51,4,4643,122,4,4238,527,4
21 189,Tochtepec,5301,5249,38,14,4978,309,14,5033,254,14
21 190,Totoltepec de Guerrero,420,408,12,,390,30,,397,23,
21 191,Tulcingo,2751,2727,22,2,2375,374,2,2557,192,2
21 192,Tuzamapan de Galeana,1647,1603,44,,1605,42,,1599,48,
21 193,Tzicatlacoyan,1748,1731,17,,1610,138,,1492,256,
21 194,Venustiano Carranza,7841,7699,142,,5898,1943,,7556,285,
21 195,Vicente Guerrero,5961,5849,112,,4772,1189,,2806,3155,
21 196,Xayacatlán de Bravo,481,473,8,,454,27,,461,20,
21 197,Xicotepec,21196,20926,269,1,19319,1876,1,20244,951,1
21 198,Xicotlán,347,343,3,1,131,215,1,332,14,1
21 199,Xiutetelco,9865,9798,67,,9746,119,,9147,718,
21 200,Xochiapulco,1014,958,56,,966,48,,782,232,
21 201,Xochiltepec,872,864,8,,866,6,,855,17,
21 202,Xochitlán de Vicente Suárez,3399,3270,128,1,3096,302,1,2938,460,1
21 203,Xochitlán Todos Santos,1876,1863,13,,1777,99,,1743,133,
21 204,Yaonáhuac,1996,1971,25,,1969,27,,1788,208,
21 205,Yehualtepec,6525,6439,63,23,5904,598,23,6026,476,23
21 206,Zacapala,1300,1272,16,12,1115,173,12,1180,108,12
21 207,Zacapoaxtla,14777,14479,298,,14298,479,,13514,1261,2
21 208,Zacatlán,22863,22667,190,6,22091,766,6,21030,1827,6
21 209,Zapotitlán,2290,2238,51,1,2119,170,1,2094,195,1
21 210,Zapotitlán de Méndez,1450,1438,12,,1424,26,,1431,19,
21 211,Zaragoza,4409,4378,31,,4385,24,,4287,122,
21 212,Zautla,5128,5010,117,1,4883,244,1,3718,1409,1
21 213,Zihuateutla,3164,3084,80,,2932,232,,2742,422,
21 214,Zinacatepec,4389,4371,17,1,4353,35,1,4349,39,1
21 215,Zongozotla,1160,1151,9,,1149,11,,1146,14,
21 216,Zoquiapan,734,694,40,,718,16,,690,44,
21 217,Zoquitlán,4718,4634,84,,4425,293,,3578,1140,
22 001,Amealco de Bonfil,17104,16601,493,10,16514,580,10,13993,3101,10
22 003,Arroyo Seco,3803,3739,64,,5817,970,,5974,813,
22 004,Cadereyta de Montes,17252,16855,392,5,3449,354,,3609,193,1
22 005,Colón,16130,15953,167,10,16623,624,5,14484,2763,5
22 006,Corregidora,64188,64012,98,78,15754,366,10,14799,1321,10
22 011,El Marqués,67880,67544,254,82,63471,638,79,63830,273,85
22 007,Ezequiel Montes,10838,10756,67,15,10523,300,15,10526,297,15
22 008,Huimilpan,9898,9830,66,2,9809,86,3,9573,318,7
22 009,Jalpan de Serra,7574,7342,209,23,6795,756,23,7274,277,23
22 010,Landa de Matamoros,5326,5229,96,1,3900,1425,1,4734,591,1
22 012,Pedro Escobedo,19051,18930,109,12,65613,2185,82,66942,855,83
22 013,Peñamiller,4864,4759,103,2,18873,166,12,18499,539,13
22 002,Pinal de Amoles,6787,6408,379,,4378,484,2,4250,612,2
22 014,Querétaro,305046,303211,419,1416,300835,2793,1418,302054,1550,1442
22 015,San Joaquín,2263,2191,72,,2008,255,,2032,231,
22 016,San Juan del Río,83656,82993,350,313,82382,961,313,81727,1615,314
22 017,Tequisquiapan,18926,18771,147,8,18652,266,8,18479,438,9
22 018,Tolimán,7010,6800,201,9,6493,508,9,5777,1224,9
23 010,Bacalar,11138,10757,373,8,26188,112,24,26205,92,27
