Code_INEGI,Municipality,Area_ID,Area,Students
2002,Mexicali,5,"natural sciences, mathematics and statistics",7
2002,Mexicali,6,Technology of the information and communication,1355
2002,Mexicali,7,"Engineering, manufacturing and construction",11468
2002,Mexicali,8,Agriculture and Veterinary,1349
2002,Mexicali,9,Health Sciences,6349
2002,Mexicali,10,Services,1115
2003,Tecate,1,Education,193
2003,Tecate,3,social sciences and law,428
2003,Tecate,4,Business Administration,816
2003,Tecate,7,"Engineering, manufacturing and construction",499
2004,Tijuana,1,Education,5176
2004,Tijuana,2,Arts and Humanities,3200
2004,Tijuana,3,social sciences and law,16545
2004,Tijuana,4,Business Administration,18340
2004,Tijuana,5,"natural sciences, mathematics and statistics",1301
2004,Tijuana,6,Technology of the information and communication,3235
2004,Tijuana,7,"Engineering, manufacturing and construction",18345
2004,Tijuana,8,Agriculture and Veterinary,27
2004,Tijuana,9,Health Sciences,9778
2004,Tijuana,10,Services,1878
2005,Playas de Rosarito,1,Education,268
2005,Playas de Rosarito,3,social sciences and law,336
2005,Playas de Rosarito,4,Business Administration,377
2005,Playas de Rosarito,9,Health Sciences,142
2005,Playas de Rosarito,10,Services,10
3001,Comondú,1,Education,388
3001,Comondú,3,social sciences and law,83
3001,Comondú,4,Business Administration,679
3001,Comondú,6,Technology of the information and communication,105
3001,Comondú,7,"Engineering, manufacturing and construction",539
3001,Comondú,10,Services,182
3002,Mulegé,1,Education,70
3002,Mulegé,3,social sciences and law,63
3002,Mulegé,4,Business Administration,321
3002,Mulegé,6,Technology of the information and communication,52
3002,Mulegé,7,"Engineering, manufacturing and construction",382
3002,Mulegé,10,Services,14
3008,Los Cabos,1,Education,551
3008,Los Cabos,2,Arts and Humanities,282
3008,Los Cabos,3,social sciences and law,1008
3008,Los Cabos,4,Business Administration,2351
3008,Los Cabos,5,"natural sciences, mathematics and statistics",31
3008,Los Cabos,6,Technology of the information and communication,330
3008,Los Cabos,7,"Engineering, manufacturing and construction",872
3008,Los Cabos,9,Health Sciences,231
3008,Los Cabos,10,Services,1018
4001,Calkiní,1,Education,458
4001,Calkiní,4,Business Administration,320
4001,Calkiní,6,Technology of the information and communication,275
4001,Calkiní,7,"Engineering, manufacturing and construction",896
4001,Calkiní,8,Agriculture and Veterinary,368
4002,Campeche,1,Education,2360
4002,Campeche,2,Arts and Humanities,465
4002,Campeche,3,social sciences and law,4753
4002,Campeche,4,Business Administration,4172
4002,Campeche,5,"natural sciences, mathematics and statistics",652
4002,Campeche,6,Technology of the information and communication,691
4002,Campeche,7,"Engineering, manufacturing and construction",2685
4002,Campeche,8,Agriculture and Veterinary,551
4002,Campeche,9,Health Sciences,4188
4002,Campeche,10,Services,580
4003,Carmen,1,Education,709
4003,Carmen,2,Arts and Humanities,420
4003,Carmen,3,social sciences and law,1251
4003,Carmen,4,Business Administration,2325
4003,Carmen,5,"natural sciences, mathematics and statistics",181
4003,Carmen,6,Technology of the information and communication,570
4003,Carmen,7,"Engineering, manufacturing and construction",3327
4003,Carmen,9,Health Sciences,1172
4003,Carmen,10,Services,47
4004,Champotón,3,social sciences and law,146
4004,Champotón,4,Business Administration,443
4004,Champotón,6,Technology of the information and communication,114
4004,Champotón,7,"Engineering, manufacturing and construction",223
4004,Champotón,8,Agriculture and Veterinary,15
4004,Champotón,10,Services,178
4005,Hecelchakán,1,Education,241
4006,Hopelchén,4,Business Administration,263
4006,Hopelchén,6,Technology of the information and communication,70
4006,Hopelchén,8,Agriculture and Veterinary,171
4009,Escárcega,1,Education,55
4009,Escárcega,3,social sciences and law,36
4009,Escárcega,4,Business Administration,306
4009,Escárcega,5,"natural sciences, mathematics and statistics",1
4009,Escárcega,6,Technology of the information and communication,116
4009,Escárcega,7,"Engineering, manufacturing and construction",168
4009,Escárcega,8,Agriculture and Veterinary,197
4009,Escárcega,9,Health Sciences,113
4009,Escárcega,10,Services,309
4010,Calakmul,4,Business Administration,77
4010,Calakmul,10,Services,44
4011,Candelaria,6,Technology of the information and communication,57
4011,Candelaria,8,Agriculture and Veterinary,102
4011,Candelaria,9,Health Sciences,26
4011,Candelaria,10,Services,22
5002,Acuña,1,Education,312
5002,Acuña,3,social sciences and law,187
5002,Acuña,4,Business Administration,1296
5002,Acuña,6,Technology of the information and communication,358
5002,Acuña,7,"Engineering, manufacturing and construction",2210
5002,Acuña,9,Health Sciences,64
5006,Castaños,4,Business Administration,5
5006,Castaños,10,Services,14
5018,Monclova,1,Education,909
5018,Monclova,2,Arts and Humanities,67
5018,Monclova,3,social sciences and law,1201
5018,Monclova,4,Business Administration,3782
5018,Monclova,5,"natural sciences, mathematics and statistics",396
5018,Monclova,6,Technology of the information and communication,431
5018,Monclova,7,"Engineering, manufacturing and construction",5133
5018,Monclova,9,Health Sciences,892
5020,Múzquiz,4,Business Administration,517
5020,Múzquiz,6,Technology of the information and communication,115
5020,Múzquiz,7,"Engineering, manufacturing and construction",148
5022,Nava,4,Business Administration,452
5022,Nava,6,Technology of the information and communication,151
5022,Nava,7,"Engineering, manufacturing and construction",1596
5024,Parras,1,Education,175
5024,Parras,3,social sciences and law,80
5024,Parras,4,Business Administration,96
5024,Parras,6,Technology of the information and communication,57
5024,Parras,7,"Engineering, manufacturing and construction",173
5024,Parras,8,Agriculture and Veterinary,45
5024,Parras,10,Services,31
5025,Piedras Negras,1,Education,532
5025,Piedras Negras,2,Arts and Humanities,47
5025,Piedras Negras,3,social sciences and law,972
5025,Piedras Negras,4,Business Administration,1737
5025,Piedras Negras,5,"natural sciences, mathematics and statistics",189
5025,Piedras Negras,6,Technology of the information and communication,186
5025,Piedras Negras,7,"Engineering, manufacturing and construction",1635
5025,Piedras Negras,9,Health Sciences,1014
5025,Piedras Negras,10,Services,96
5027,Ramos Arizpe,1,Education,4
5027,Ramos Arizpe,2,Arts and Humanities,24
5027,Ramos Arizpe,3,social sciences and law,10
5027,Ramos Arizpe,4,Business Administration,614
5027,Ramos Arizpe,5,"natural sciences, mathematics and statistics",280
5027,Ramos Arizpe,6,Technology of the information and communication,306
5027,Ramos Arizpe,7,"Engineering, manufacturing and construction",2364
5028,Sabinas,3,social sciences and law,314
5028,Sabinas,4,Business Administration,772
5028,Sabinas,6,Technology of the information and communication,256
5028,Sabinas,7,"Engineering, manufacturing and construction",1585
5028,Sabinas,9,Health Sciences,284
5030,Saltillo,1,Education,3243
5030,Saltillo,2,Arts and Humanities,1186
5030,Saltillo,3,social sciences and law,8039
5030,Saltillo,4,Business Administration,10449
5030,Saltillo,5,"natural sciences, mathematics and statistics",971
5030,Saltillo,6,Technology of the information and communication,1146
5030,Saltillo,7,"Engineering, manufacturing and construction",14238
5030,Saltillo,8,Agriculture and Veterinary,2715
5030,Saltillo,9,Health Sciences,4062
5030,Saltillo,10,Services,270
5031,San Buenaventura,8,Agriculture and Veterinary,149
5032,San Juan de Sabinas,1,Education,227
5032,San Juan de Sabinas,3,social sciences and law,86
5032,San Juan de Sabinas,4,Business Administration,428
5032,San Juan de Sabinas,5,"natural sciences, mathematics and statistics",114
5032,San Juan de Sabinas,6,Technology of the information and communication,31
5032,San Juan de Sabinas,7,"Engineering, manufacturing and construction",735
5033,San Pedro,4,Business Administration,949
5033,San Pedro,6,Technology of the information and communication,255
5033,San Pedro,7,"Engineering, manufacturing and construction",818
5035,Torreón,1,Education,1552
5035,Torreón,2,Arts and Humanities,751
5035,Torreón,3,social sciences and law,6074
5035,Torreón,4,Business Administration,9452
5035,Torreón,5,"natural sciences, mathematics and statistics",82
5035,Torreón,6,Technology of the information and communication,1344
5035,Torreón,7,"Engineering, manufacturing and construction",11366
5035,Torreón,8,Agriculture and Veterinary,2427
5035,Torreón,9,Health Sciences,3326
5035,Torreón,10,Services,415
6002,Colima,1,Education,1708
6002,Colima,2,Arts and Humanities,517
6002,Colima,3,social sciences and law,3478
6002,Colima,4,Business Administration,2943
6002,Colima,5,"natural sciences, mathematics and statistics",239
6002,Colima,6,Technology of the information and communication,659
6002,Colima,7,"Engineering, manufacturing and construction",169
6002,Colima,9,Health Sciences,1971
6002,Colima,10,Services,145
6003,Comala,3,social sciences and law,223
6004,Coquimatlán,2,Arts and Humanities,127
6004,Coquimatlán,5,"natural sciences, mathematics and statistics",28
6004,Coquimatlán,6,Technology of the information and communication,266
6004,Coquimatlán,7,"Engineering, manufacturing and construction",1637
6004,Coquimatlán,9,Health Sciences,279
6007,Manzanillo,1,Education,372
6007,Manzanillo,2,Arts and Humanities,35
6007,Manzanillo,3,social sciences and law,641
6007,Manzanillo,4,Business Administration,3074
6007,Manzanillo,5,"natural sciences, mathematics and statistics",163
6007,Manzanillo,6,Technology of the information and communication,352
6007,Manzanillo,7,"Engineering, manufacturing and construction",770
6007,Manzanillo,9,Health Sciences,93
6007,Manzanillo,10,Services,276
6009,Tecomán,1,Education,188
6009,Tecomán,3,social sciences and law,197
6009,Tecomán,4,Business Administration,889
6009,Tecomán,5,"natural sciences, mathematics and statistics",81
6009,Tecomán,6,Technology of the information and communication,58
6009,Tecomán,8,Agriculture and Veterinary,659
6009,Tecomán,9,Health Sciences,131
6010,Villa de Álvarez,1,Education,970
6010,Villa de Álvarez,2,Arts and Humanities,46
6010,Villa de Álvarez,3,social sciences and law,153
6010,Villa de Álvarez,4,Business Administration,1822
6010,Villa de Álvarez,6,Technology of the information and communication,449
6010,Villa de Álvarez,7,"Engineering, manufacturing and construction",1897
7002,Acala,3,social sciences and law,43
7002,Acala,4,Business Administration,27
7003,Acapetahua,7,"Engineering, manufacturing and construction",48
7003,Acapetahua,9,Health Sciences,324
7005,Amatán,4,Business Administration,19
7008,Angel Albino Corzo,1,Education,36
7008,Angel Albino Corzo,4,Business Administration,88
7008,Angel Albino Corzo,7,"Engineering, manufacturing and construction",66
7008,Angel Albino Corzo,10,Services,78
7009,Arriaga,1,Education,46
7009,Arriaga,3,social sciences and law,136
7009,Arriaga,4,Business Administration,373
7009,Arriaga,6,Technology of the information and communication,29
7009,Arriaga,7,"Engineering, manufacturing and construction",133
7013,Bochil,3,social sciences and law,27
7013,Bochil,6,Technology of the information and communication,7
7015,Cacahoatán,3,social sciences and law,15
7015,Cacahoatán,4,Business Administration,214
7016,Catazajá,7,"Engineering, manufacturing and construction",101
7016,Catazajá,8,Agriculture and Veterinary,339
7017,Cintalapa,1,Education,336
7017,Cintalapa,3,social sciences and law,429
7017,Cintalapa,4,Business Administration,265
7017,Cintalapa,6,Technology of the information and communication,272
7017,Cintalapa,7,"Engineering, manufacturing and construction",1325
7017,Cintalapa,8,Agriculture and Veterinary,22
7019,Comitán de Domínguez,1,Education,1798
7019,Comitán de Domínguez,2,Arts and Humanities,8
7019,Comitán de Domínguez,3,social sciences and law,1645
7019,Comitán de Domínguez,4,Business Administration,2277
7019,Comitán de Domínguez,6,Technology of the information and communication,529
7019,Comitán de Domínguez,7,"Engineering, manufacturing and construction",1040
7019,Comitán de Domínguez,8,Agriculture and Veterinary,59
7019,Comitán de Domínguez,10,Services,25
7020,La Concordia,7,"Engineering, manufacturing and construction",79
7021,Copainalá,3,social sciences and law,95
7021,Copainalá,4,Business Administration,83
7021,Copainalá,6,Technology of the information and communication,16
7021,Copainalá,8,Agriculture and Veterinary,168
7027,Chiapa de Corzo,2,Arts and Humanities,37
7027,Chiapa de Corzo,3,social sciences and law,116
7027,Chiapa de Corzo,4,Business Administration,12
7031,Chilón,3,social sciences and law,233
7031,Chilón,5,"natural sciences, mathematics and statistics",104
7032,Escuintla,3,social sciences and law,50
7032,Escuintla,4,Business Administration,35
7032,Escuintla,6,Technology of the information and communication,6
7034,Frontera Comalapa,1,Education,97
7034,Frontera Comalapa,3,social sciences and law,138
7034,Frontera Comalapa,4,Business Administration,297
7034,Frontera Comalapa,6,Technology of the information and communication,140
7034,Frontera Comalapa,8,Agriculture and Veterinary,82
7034,Frontera Comalapa,9,Health Sciences,82
7037,Huehuetán,1,Education,139
7037,Huehuetán,7,"Engineering, manufacturing and construction",26
7037,Huehuetán,8,Agriculture and Veterinary,723
7040,Huixtla,3,social sciences and law,62
7040,Huixtla,4,Business Administration,143
7040,Huixtla,6,Technology of the information and communication,83
7046,Jiquipilas,1,Education,45
7046,Jiquipilas,3,social sciences and law,18
7046,Jiquipilas,4,Business Administration,18
7046,Jiquipilas,6,Technology of the information and communication,23
7046,Jiquipilas,7,"Engineering, manufacturing and construction",34
7051,Mapastepec,7,"Engineering, manufacturing and construction",192
7052,Las Margaritas,2,Arts and Humanities,48
7052,Las Margaritas,3,social sciences and law,18
7052,Las Margaritas,4,Business Administration,4
7052,Las Margaritas,6,Technology of the information and communication,3
7052,Las Margaritas,10,Services,32
7057,Motozintla,1,Education,35
7057,Motozintla,3,social sciences and law,80
7057,Motozintla,4,Business Administration,33
7057,Motozintla,8,Agriculture and Veterinary,51
7059,Ocosingo,2,Arts and Humanities,41
7059,Ocosingo,3,social sciences and law,174
7059,Ocosingo,4,Business Administration,1073
7059,Ocosingo,5,"natural sciences, mathematics and statistics",108
7059,Ocosingo,6,Technology of the information and communication,448
7059,Ocosingo,7,"Engineering, manufacturing and construction",146
7059,Ocosingo,8,Agriculture and Veterinary,209
7059,Ocosingo,9,Health Sciences,279
7059,Ocosingo,10,Services,528
7061,Ocozocoautla de Espinosa,1,Education,36
7061,Ocozocoautla de Espinosa,3,social sciences and law,231
7061,Ocozocoautla de Espinosa,4,Business Administration,108
7061,Ocozocoautla de Espinosa,5,"natural sciences, mathematics and statistics",401
7061,Ocozocoautla de Espinosa,9,Health Sciences,29
7061,Ocozocoautla de Espinosa,10,Services,91
7064,Oxchuc,2,Arts and Humanities,65
7064,Oxchuc,3,social sciences and law,29
7064,Oxchuc,5,"natural sciences, mathematics and statistics",19
7065,Palenque,1,Education,102
7065,Palenque,2,Arts and Humanities,15
7065,Palenque,3,social sciences and law,645
7065,Palenque,4,Business Administration,564
7065,Palenque,6,Technology of the information and communication,42
7065,Palenque,7,"Engineering, manufacturing and construction",67
7065,Palenque,9,Health Sciences,140
7065,Palenque,10,Services,244
7068,Pichucalco,1,Education,415
7068,Pichucalco,2,Arts and Humanities,11
7068,Pichucalco,3,social sciences and law,537
7068,Pichucalco,4,Business Administration,844
7068,Pichucalco,6,Technology of the information and communication,142
7068,Pichucalco,7,"Engineering, manufacturing and construction",17
7068,Pichucalco,8,Agriculture and Veterinary,52
7068,Pichucalco,9,Health Sciences,222
7069,Pijijiapan,1,Education,398
7069,Pijijiapan,2,Arts and Humanities,15
7069,Pijijiapan,3,social sciences and law,141
7069,Pijijiapan,4,Business Administration,201
7069,Pijijiapan,6,Technology of the information and communication,15
7069,Pijijiapan,9,Health Sciences,69
7072,Pueblo Nuevo Solistahuacán,1,Education,222
7072,Pueblo Nuevo Solistahuacán,2,Arts and Humanities,130
7072,Pueblo Nuevo Solistahuacán,4,Business Administration,50
7072,Pueblo Nuevo Solistahuacán,6,Technology of the information and communication,20
7072,Pueblo Nuevo Solistahuacán,9,Health Sciences,90
7074,Reforma,1,Education,1
7074,Reforma,3,social sciences and law,111
7074,Reforma,4,Business Administration,70
7074,Reforma,7,"Engineering, manufacturing and construction",82
7074,Reforma,9,Health Sciences,40
7074,Reforma,10,Services,208
7075,Las Rosas,1,Education,8
7075,Las Rosas,3,social sciences and law,134
7075,Las Rosas,4,Business Administration,74
7077,Salto de Agua,5,"natural sciences, mathematics and statistics",5
7077,Salto de Agua,10,Services,19
7078,San Cristóbal de las Casas,1,Education,1225
7078,San Cristóbal de las Casas,2,Arts and Humanities,363
7078,San Cristóbal de las Casas,3,social sciences and law,3851
7078,San Cristóbal de las Casas,4,Business Administration,1327
7078,San Cristóbal de las Casas,5,"natural sciences, mathematics and statistics",278
7078,San Cristóbal de las Casas,6,Technology of the information and communication,274
7078,San Cristóbal de las Casas,7,"Engineering, manufacturing and construction",558
7078,San Cristóbal de las Casas,8,Agriculture and Veterinary,3
7078,San Cristóbal de las Casas,9,Health Sciences,1199
7078,San Cristóbal de las Casas,10,Services,346
7080,Siltepec,1,Education,25
7080,Siltepec,3,social sciences and law,13
7080,Siltepec,4,Business Administration,26
7080,Siltepec,6,Technology of the information and communication,27
7080,Siltepec,7,"Engineering, manufacturing and construction",44
7081,Simojovel,3,social sciences and law,13
7081,Simojovel,6,Technology of the information and communication,6
7083,Socoltenango,3,social sciences and law,10
7083,Socoltenango,4,Business Administration,10
7085,Soyaló,6,Technology of the information and communication,15
7085,Soyaló,7,"Engineering, manufacturing and construction",28
7089,Tapachula,1,Education,2979
7089,Tapachula,2,Arts and Humanities,471
7089,Tapachula,3,social sciences and law,3517
7089,Tapachula,4,Business Administration,4778
7089,Tapachula,5,"natural sciences, mathematics and statistics",824
7089,Tapachula,6,Technology of the information and communication,1064
7089,Tapachula,7,"Engineering, manufacturing and construction",3022
7089,Tapachula,8,Agriculture and Veterinary,99
7089,Tapachula,9,Health Sciences,2545
7089,Tapachula,10,Services,195
7091,Tapilula,3,social sciences and law,4
7091,Tapilula,6,Technology of the information and communication,31
7094,Teopisca,1,Education,33
7094,Teopisca,3,social sciences and law,28
7094,Teopisca,4,Business Administration,33
7101,Tuxtla Gutiérrez,1,Education,12314
7101,Tuxtla Gutiérrez,2,Arts and Humanities,2294
7101,Tuxtla Gutiérrez,3,social sciences and law,11540
7101,Tuxtla Gutiérrez,4,Business Administration,11403
7101,Tuxtla Gutiérrez,5,"natural sciences, mathematics and statistics",1120
7101,Tuxtla Gutiérrez,6,Technology of the information and communication,2721
7101,Tuxtla Gutiérrez,7,"Engineering, manufacturing and construction",12041
7101,Tuxtla Gutiérrez,8,Agriculture and Veterinary,1247
7101,Tuxtla Gutiérrez,9,Health Sciences,10296
7101,Tuxtla Gutiérrez,10,Services,1368
7102,Tuxtla Chico,1,Education,194
7107,Villa Corzo,3,social sciences and law,40
7107,Villa Corzo,4,Business Administration,303
7107,Villa Corzo,6,Technology of the information and communication,30
7107,Villa Corzo,7,"Engineering, manufacturing and construction",33
7107,Villa Corzo,8,Agriculture and Veterinary,154
7108,Villaflores,1,Education,451
7108,Villaflores,3,social sciences and law,405
7108,Villaflores,4,Business Administration,508
7108,Villaflores,6,Technology of the information and communication,196
7108,Villaflores,7,"Engineering, manufacturing and construction",22
7108,Villaflores,8,Agriculture and Veterinary,491
7108,Villaflores,9,Health Sciences,189
7108,Villaflores,10,Services,21
7109,Yajalón,1,Education,44
7109,Yajalón,2,Arts and Humanities,64
7109,Yajalón,3,social sciences and law,99
7109,Yajalón,4,Business Administration,30
7109,Yajalón,5,"natural sciences, mathematics and statistics",31
7109,Yajalón,6,Technology of the information and communication,12
7109,Yajalón,7,"Engineering, manufacturing and construction",15
7111,Zinacantán,1,Education,60
7114,Benemérito de las Américas,4,Business Administration,105
7114,Benemérito de las Américas,6,Technology of the information and communication,32
7114,Benemérito de las Américas,8,Agriculture and Veterinary,50
7124,Mezcalapa,3,social sciences and law,11
7124,Mezcalapa,4,Business Administration,21
8007,Balleza,4,Business Administration,37
8007,Balleza,6,Technology of the information and communication,39
8007,Balleza,8,Agriculture and Veterinary,3
8009,Bocoyna,1,Education,384
8009,Bocoyna,9,Health Sciences,8
8013,Casas Grandes,4,Business Administration,362
8013,Casas Grandes,6,Technology of the information and communication,125
8013,Casas Grandes,8,Agriculture and Veterinary,248
8019,Chihuahua,1,Education,4762
8019,Chihuahua,2,Arts and Humanities,2496
8019,Chihuahua,3,social sciences and law,10400
8019,Chihuahua,4,Business Administration,11849
8019,Chihuahua,5,"natural sciences, mathematics and statistics",1900
8019,Chihuahua,6,Technology of the information and communication,2114
8019,Chihuahua,7,"Engineering, manufacturing and construction",15421
8019,Chihuahua,8,Agriculture and Veterinary,833
8019,Chihuahua,9,Health Sciences,5624
8019,Chihuahua,10,Services,510
8021,Delicias,1,Education,442
8021,Delicias,2,Arts and Humanities,43
8021,Delicias,3,social sciences and law,245
8021,Delicias,4,Business Administration,1496
8021,Delicias,6,Technology of the information and communication,272
8021,Delicias,7,"Engineering, manufacturing and construction",1296
8021,Delicias,8,Agriculture and Veterinary,546
8021,Delicias,9,Health Sciences,265
8027,Guachochi,1,Education,222
8027,Guachochi,3,social sciences and law,41
8027,Guachochi,4,Business Administration,38
8027,Guachochi,6,Technology of the information and communication,22
8027,Guachochi,7,"Engineering, manufacturing and construction",50
8027,Guachochi,8,Agriculture and Veterinary,178
8027,Guachochi,9,Health Sciences,103
8027,Guachochi,10,Services,34
8029,Guadalupe y Calvo,1,Education,91
8029,Guadalupe y Calvo,4,Business Administration,1
8032,Hidalgo del Parral,1,Education,893
8032,Hidalgo del Parral,2,Arts and Humanities,26
8032,Hidalgo del Parral,3,social sciences and law,611
8032,Hidalgo del Parral,4,Business Administration,1150
8032,Hidalgo del Parral,6,Technology of the information and communication,274
8032,Hidalgo del Parral,7,"Engineering, manufacturing and construction",3142
8032,Hidalgo del Parral,9,Health Sciences,903
8040,Madera,1,Education,143
8040,Madera,4,Business Administration,52
8040,Madera,6,Technology of the information and communication,1
8040,Madera,7,"Engineering, manufacturing and construction",58
8048,Namiquipa,4,Business Administration,93
8048,Namiquipa,7,"Engineering, manufacturing and construction",66
8048,Namiquipa,8,Agriculture and Veterinary,73
8050,Nuevo Casas Grandes,1,Education,475
8050,Nuevo Casas Grandes,2,Arts and Humanities,5
8050,Nuevo Casas Grandes,3,social sciences and law,501
8050,Nuevo Casas Grandes,4,Business Administration,1127
8050,Nuevo Casas Grandes,6,Technology of the information and communication,150
8050,Nuevo Casas Grandes,7,"Engineering, manufacturing and construction",584
8050,Nuevo Casas Grandes,8,Agriculture and Veterinary,2
8050,Nuevo Casas Grandes,9,Health Sciences,336
8050,Nuevo Casas Grandes,10,Services,3
8052,Ojinaga,4,Business Administration,81
8052,Ojinaga,6,Technology of the information and communication,14
8052,Ojinaga,7,"Engineering, manufacturing and construction",67
8052,Ojinaga,9,Health Sciences,15
8062,Saucillo,1,Education,476
9002,Azcapotzalco,1,Education,2064
9002,Azcapotzalco,2,Arts and Humanities,3370
9002,Azcapotzalco,3,social sciences and law,6071
9002,Azcapotzalco,4,Business Administration,5089
9002,Azcapotzalco,6,Technology of the information and communication,2474
9002,Azcapotzalco,7,"Engineering, manufacturing and construction",17163
9002,Azcapotzalco,8,Agriculture and Veterinary,2
9002,Azcapotzalco,10,Services,269
9003,Coyoacán,1,Education,7549
9003,Coyoacán,2,Arts and Humanities,13076
9003,Coyoacán,3,social sciences and law,62079
9003,Coyoacán,4,Business Administration,33348
9003,Coyoacán,5,"natural sciences, mathematics and statistics",16950
9003,Coyoacán,6,Technology of the information and communication,12672
9003,Coyoacán,7,"Engineering, manufacturing and construction",32285
9003,Coyoacán,8,Agriculture and Veterinary,6700
9003,Coyoacán,9,Health Sciences,33720
9003,Coyoacán,10,Services,261
9004,Cuajimalpa de Morelos,1,Education,102
9004,Cuajimalpa de Morelos,2,Arts and Humanities,866
9004,Cuajimalpa de Morelos,3,social sciences and law,1168
9004,Cuajimalpa de Morelos,4,Business Administration,1222
9004,Cuajimalpa de Morelos,5,"natural sciences, mathematics and statistics",516
9004,Cuajimalpa de Morelos,6,Technology of the information and communication,576
9004,Cuajimalpa de Morelos,7,"Engineering, manufacturing and construction",331
9004,Cuajimalpa de Morelos,9,Health Sciences,389
9004,Cuajimalpa de Morelos,10,Services,42
9005,Gustavo A. Madero,1,Education,1871
9005,Gustavo A. Madero,2,Arts and Humanities,1341
9005,Gustavo A. Madero,3,social sciences and law,10675
9005,Gustavo A. Madero,4,Business Administration,8205
9005,Gustavo A. Madero,5,"natural sciences, mathematics and statistics",4593
9005,Gustavo A. Madero,6,Technology of the information and communication,12218
9005,Gustavo A. Madero,7,"Engineering, manufacturing and construction",30215
9005,Gustavo A. Madero,8,Agriculture and Veterinary,40
9005,Gustavo A. Madero,9,Health Sciences,7661
9005,Gustavo A. Madero,10,Services,3879
9006,Iztacalco,1,Education,1742
9006,Iztacalco,2,Arts and Humanities,33
9006,Iztacalco,3,social sciences and law,2558
9006,Iztacalco,4,Business Administration,3953
9006,Iztacalco,6,Technology of the information and communication,3205
9006,Iztacalco,7,"Engineering, manufacturing and construction",3936
9006,Iztacalco,10,Services,2113
9007,Iztapalapa,1,Education,3633
9007,Iztapalapa,2,Arts and Humanities,4748
9007,Iztapalapa,3,social sciences and law,20315
9007,Iztapalapa,4,Business Administration,20675
9007,Iztapalapa,5,"natural sciences, mathematics and statistics",5748
9007,Iztapalapa,6,Technology of the information and communication,5003
9007,Iztapalapa,7,"Engineering, manufacturing and construction",9498
9007,Iztapalapa,8,Agriculture and Veterinary,334
9007,Iztapalapa,9,Health Sciences,14351
9007,Iztapalapa,10,Services,1134
9008,La Magdalena Contreras,1,Education,936
9008,La Magdalena Contreras,2,Arts and Humanities,11
9008,La Magdalena Contreras,3,social sciences and law,152
9008,La Magdalena Contreras,4,Business Administration,624
9008,La Magdalena Contreras,6,Technology of the information and communication,121
9008,La Magdalena Contreras,9,Health Sciences,295
9009,Milpa Alta,3,social sciences and law,241
9009,Milpa Alta,4,Business Administration,504
9009,Milpa Alta,6,Technology of the information and communication,529
9009,Milpa Alta,7,"Engineering, manufacturing and construction",692
9009,Milpa Alta,9,Health Sciences,2218
9011,Tláhuac,1,Education,236
9011,Tláhuac,2,Arts and Humanities,23
9011,Tláhuac,3,social sciences and law,190
9011,Tláhuac,4,Business Administration,1242
9011,Tláhuac,5,"natural sciences, mathematics and statistics",93
9011,Tláhuac,6,Technology of the information and communication,1166
9011,Tláhuac,7,"Engineering, manufacturing and construction",2735
9012,Tlalpan,1,Education,4261
9012,Tlalpan,2,Arts and Humanities,2249
9012,Tlalpan,3,social sciences and law,9413
9012,Tlalpan,4,Business Administration,6221
9012,Tlalpan,5,"natural sciences, mathematics and statistics",454
